ownership_type,energy_footprint,core_reactor_size,harvesting_space,vertical_alignment,power_chambers,energy_flow_design,upper_collector_height,shared_conversion_units,isolated_conversion_units,internal_collectors,external_collectors,ambient_harvesters,shielded_harvesters,efficiency_grade,grid_connections,error
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.895055190313029
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0.9841431171479808
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.95871874869366
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0.969990182399523
0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0.9040033048978896
0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1.0274315748670853
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.9661641789543692
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1.097778416109024
0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.9450246947602142
0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1.0199360236263018
0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0.91935412980588
0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1.0087971899222548
0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0.94737087079171
0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1.072770092175783
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.8743648938245917
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0.867126810821293
0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0.8011184239688262
0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1.032020189787032
0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0.8671509604503593
0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0.9276829696429948
0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1.0185788288942328
0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1.025530165878161
0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.8486634494258819
0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1.0119676937437536
0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1.099655740833794
0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1.0613848533295869
0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0.9076599081648332
0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0.987944621961965
0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1.00201302688354
0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1.1924366788433267
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.9301893813999388
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.9173903079226572
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.8259171956084684
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0.8228132277869596
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.8933619229225985
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.9681444733132633
0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0.9654694399817813
0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0.9136711509439353
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.8964477895681541
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0.9070400412336034
0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0.8796900460626375
0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0.9688651155753474
0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1.0301088510183352
0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1.1357109911358034
0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1.0377591864814035
0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1.0103720578811326
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.8489842264293096
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0.8405795113870785
0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0.8017817448161502
0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0.831369382556683
0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0.93113730164187
0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0.9504288249523114
0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1.0054559310473403
0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1.0371532940376438
0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0.8490480068851728
0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1.0346916868468026
0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1.0459128234607145
0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1.0531600444246614
0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0.9642984361979562
0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1.058294880037602
0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0.9779531288725972
0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0.9713930596094176
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.9239925190464052
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0.9121255335239185
